2024-03-26 17:01:59.055 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-03-26 17:01:59.056 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-26 17:01:59.056 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-26 17:01:59.143 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-26 17:01:59.143 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1315 ms
2024-03-26 17:01:59.262 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-26 17:01:59.314 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.22.Final
2024-03-26 17:01:59.316 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-03-26 17:01:59.586 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-26 17:01:59.607 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-26 17:01:59.727 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@75dc1c1c
2024-03-26 17:01:59.728 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-26 17:01:59.761 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-26 17:01:59.762 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-03-26 17:02:00.710 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-26 17:02:00.713 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-26 17:02:01.066 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-26 17:02:01.172 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-26 17:02:01.947 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@58c84be1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e7227e6, org.springframework.security.web.context.SecurityContextHolderFilter@3298e1d, org.springframework.security.web.header.HeaderWriterFilter@78605670, org.springframework.web.filter.CorsFilter@43dc6864, org.springframework.security.web.authentication.logout.LogoutFilter@69503026, com.ecommerce.shopapp.filters.JwtTokenFilter@36a8ebca, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@faff2bf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3015fc1b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2c1523cd, org.springframework.security.web.access.ExceptionTranslationFilter@66cb7a21, org.springframework.security.web.access.intercept.AuthorizationFilter@476e4bb0]
